id,input_len,output_len,ttft_sec,tpot_sec,e2e_sec,energy_j,carbon_g,ttft_ok,tpot_ok
1,1821,360,0.171489,0.012058,4.742098,65.274018,0.007924,true,true
0,1587,537,0.146596,0.012045,7.011654,98.041613,0.011901,true,true
2,2652,345,0.252695,0.012170,4.771707,64.537134,0.007834,true,true
3,1601,286,0.152734,0.012203,4.337590,59.764979,0.007255,true,true
4,2012,283,0.190744,0.012218,4.158593,56.665852,0.006879,true,true
6,2742,540,0.257403,0.012275,7.016707,96.531306,0.011718,true,true
5,3002,685,0.283236,0.012262,9.063471,125.392726,0.015221,true,true
7,1549,419,0.148975,0.012186,5.810245,80.850014,0.009814,true,true
9,2225,360,0.214119,0.012296,4.788135,65.322662,0.007929,true,true
8,2232,540,0.211915,0.012235,7.421921,102.967905,0.012499,true,true
10,1734,623,0.159837,0.012225,8.015993,112.195719,0.013619,true,true
11,2772,526,0.253232,0.012054,6.856703,94.305823,0.011448,true,true
13,2311,336,0.218935,0.012304,4.597662,62.533685,0.007591,true,true
12,3030,726,0.280457,0.012322,10.136441,140.755772,0.017086,true,true
15,2978,327,0.278391,0.012549,4.553097,61.048150,0.007411,true,true
14,2823,626,0.261690,0.012451,8.497907,117.623476,0.014278,true,true
16,2002,552,0.305614,0.012338,7.103734,97.085655,0.011785,true,true
17,2012,359,0.184515,0.012153,4.967171,68.302311,0.008291,true,true
19,2263,470,0.207862,0.012336,6.263574,86.483132,0.010498,true,true
18,2464,629,0.229326,0.012345,8.843767,123.024985,0.014934,true,true
20,2973,329,0.278477,0.012431,4.740392,63.721725,0.007735,true,true
21,1886,506,0.183701,0.012170,6.541138,90.792139,0.011021,true,true
22,2313,532,0.222555,0.012130,6.663518,91.984995,0.011166,true,true
23,2846,480,0.258926,0.012019,6.168478,84.395783,0.010245,true,true
24,1650,490,0.163284,0.011972,6.217230,86.457918,0.010495,true,true
26,1968,578,0.180705,0.012290,7.505045,104.600741,0.012697,true,true
25,2182,666,0.201779,0.012253,8.763777,122.276034,0.014843,true,true
27,2558,661,0.245156,0.012303,8.792258,122.063305,0.014817,true,true
29,1821,508,0.173359,0.012251,6.625029,92.137905,0.011185,true,true
28,2852,725,0.262933,0.012249,9.539484,132.480751,0.016082,true,true
30,2639,525,0.245561,0.012312,7.406371,102.265315,0.012414,true,true
33,1632,368,0.158850,0.012516,5.135779,71.076761,0.008628,true,true
31,2413,664,0.229359,0.012496,9.443228,131.585573,0.015973,true,true
34,1863,688,0.177385,0.012566,9.250325,129.572925,0.015729,true,true
32,1819,761,0.177637,0.012555,10.480894,147.143383,0.017862,true,true
35,2324,646,0.213437,0.012514,8.512541,118.521587,0.014387,true,true
36,2494,513,0.235202,0.012371,6.568968,90.454094,0.010980,true,true
37,1559,373,0.144097,0.011886,4.805766,66.574455,0.008081,true,true
38,2635,529,0.251609,0.012073,7.270020,100.231683,0.012167,true,true
39,2232,370,0.208738,0.012357,5.208129,71.397555,0.008667,true,true
41,3014,525,0.440697,0.012309,6.890377,92.109490,0.011181,true,true
40,1859,720,0.451497,0.012202,9.224599,125.290858,0.015209,true,true
42,1901,364,0.174611,0.011873,4.484525,61.550956,0.007472,true,true
44,1866,256,0.172114,0.012081,3.692353,50.273419,0.006103,true,true
43,2147,459,0.196560,0.012272,6.845122,94.949780,0.011526,true,true
45,2536,275,0.240588,0.012593,4.316182,58.204570,0.007065,true,true
48,2531,326,0.236731,0.012555,4.317173,58.273815,0.007074,true,true
47,2029,336,0.191585,0.012553,4.627820,63.354983,0.007691,true,true
46,2279,570,0.213767,0.012343,7.653626,106.250489,0.012898,true,true
49,2626,384,0.239298,0.012346,5.449524,74.408544,0.009032,true,true
50,2509,425,0.236867,0.012348,5.725113,78.379015,0.009514,true,true
51,2778,689,0.253524,0.012191,8.640722,119.779666,0.014540,true,true
52,2640,461,0.240547,0.012006,5.978110,81.939571,0.009947,true,true
55,1996,321,0.187897,0.012521,4.587358,62.829800,0.007627,true,true
53,2353,638,0.223064,0.012454,8.968617,124.897434,0.015161,true,true
56,2740,491,0.258023,0.012562,6.556627,89.951942,0.010919,true,true
57,1550,328,0.150102,0.012479,4.531342,62.569582,0.007595,true,true
54,2595,718,0.240264,0.012484,10.253190,142.997097,0.017358,true,true
58,1656,490,0.158663,0.012315,6.694855,93.345002,0.011331,true,true
60,2023,541,0.186858,0.012312,7.016720,97.538970,0.011840,true,true
59,1600,594,0.159916,0.012296,7.817913,109.365772,0.013276,true,true
61,1974,391,0.184468,0.012278,5.219130,71.901270,0.008728,true,true
63,2504,672,0.236243,0.012515,9.437250,131.401877,0.015951,true,true
62,2705,740,0.255486,0.012493,10.519706,146.585885,0.017794,true,true
64,1734,697,0.166413,0.012546,9.542109,133.896650,0.016254,true,true
65,2377,734,0.219801,0.012546,9.843238,137.434719,0.016683,true,true
66,1646,356,0.157439,0.012375,4.825582,66.666914,0.008093,true,true
67,3027,603,0.275659,0.012357,8.292129,114.485212,0.013897,true,true
68,1759,510,0.172626,0.012446,7.078963,98.631134,0.011973,true,true
70,1911,541,0.183467,0.012456,7.065307,98.281270,0.011930,true,true
69,2634,715,0.250954,0.012466,9.966448,138.749392,0.016843,true,true
73,2643,271,0.315286,0.012492,3.688167,48.168954,0.005847,true,true
71,1690,709,0.159605,0.012436,9.447682,132.645351,0.016102,true,true
72,2663,356,0.247472,0.012370,4.879568,66.152122,0.008030,true,true
74,2020,426,0.185229,0.012045,5.534198,76.389966,0.009273,true,true
75,2521,474,0.233503,0.012054,5.935237,81.427894,0.009884,true,true
76,1656,424,0.152752,0.012005,5.444330,75.570347,0.009173,true,true
77,2335,527,0.224050,0.012012,6.542234,90.231579,0.010953,true,true
78,2467,548,0.225111,0.012269,7.407848,102.578456,0.012452,true,true
80,2143,478,0.205612,0.012363,6.102703,84.217833,0.010223,true,true
79,3032,754,0.277199,0.012241,9.691246,134.444349,0.016320,true,true
81,2722,318,0.247863,0.011946,4.034663,54.080241,0.006565,true,true
82,1653,307,0.152484,0.011963,4.281852,58.972533,0.007159,true,true
84,2576,338,0.274380,0.012202,4.386553,58.726980,0.007129,true,true
83,2565,417,0.234743,0.012156,5.526682,75.575499,0.009174,true,true
85,1676,325,0.154536,0.011866,4.184133,57.547674,0.006986,true,true
87,2702,508,0.255911,0.012309,6.894504,94.807405,0.011509,true,true
88,1617,339,0.152574,0.012435,4.604261,63.575657,0.007717,true,true
86,2017,669,0.194378,0.012288,9.046900,126.425069,0.015347,true,true
89,2731,579,0.250780,0.012201,7.302990,100.714372,0.012226,true,true
91,2346,390,0.221135,0.012157,5.302322,72.565702,0.008809,true,true
90,1954,577,0.179340,0.012150,7.744386,108.038305,0.013115,true,true
93,1684,265,0.160330,0.012423,4.071630,55.858255,0.006781,true,true
96,2250,326,0.209610,0.012594,4.302753,58.455191,0.007096,true,true
94,2689,358,0.250597,0.012583,5.129288,69.673805,0.008458,true,true
