id,input_len,output_len,ttft_sec,tpot_sec,e2e_sec,energy_j,carbon_g,ttft_ok,tpot_ok
1,199,90,0.028659,0.011764,1.161868,16.183631,0.001965,true,true
0,140,134,0.017491,0.011773,1.741362,24.619035,0.002988,true,true
2,407,86,0.045367,0.011809,1.186409,16.295498,0.001978,true,true
3,144,71,0.029248,0.011830,0.976714,13.531001,0.001643,true,true
4,247,70,0.030698,0.011830,0.939337,12.976503,0.001575,true,true
6,429,135,0.047539,0.011826,1.733411,24.076372,0.002923,true,true
5,494,171,0.057612,0.011832,2.213557,30.789594,0.003738,true,true
7,131,104,0.027236,0.011839,1.331110,18.620941,0.002260,true,true
9,300,90,0.033878,0.011835,1.152000,15.968180,0.001938,true,true
8,302,135,0.039196,0.011826,1.720486,24.010921,0.002915,true,true
10,177,155,0.029733,0.011820,1.943738,27.334378,0.003318,true,true
11,437,131,0.044633,0.011814,1.708814,23.766579,0.002885,true,true
13,321,84,0.042462,0.011851,1.146439,15.766174,0.001914,true,true
15,488,81,0.049393,0.011882,1.026705,13.957245,0.001694,true,true
12,501,181,0.050557,0.011852,2.337877,32.665788,0.003965,true,true
14,449,156,0.052793,0.011849,1.964699,27.304408,0.003314,true,true
16,244,138,0.052763,0.011841,1.674943,23.166761,0.002812,true,true
17,247,89,0.027038,0.011790,1.182655,16.503659,0.002003,true,true
19,309,117,0.038731,0.011831,1.517484,21.118437,0.002564,true,true
20,487,82,0.051379,0.011855,1.069565,14.540966,0.001765,true,true
18,360,157,0.047911,0.011826,2.031725,28.331345,0.003439,true,true
21,215,126,0.031983,0.011812,1.542265,21.568714,0.002618,true,true
22,322,133,0.035746,0.011805,1.594014,22.254020,0.002701,true,true
23,455,120,0.045596,0.011759,1.494640,20.694159,0.002512,true,true
24,156,122,0.027891,0.011778,1.549063,21.724236,0.002637,true,true
26,236,144,0.031284,0.011824,1.829859,25.685890,0.003118,true,true
25,289,166,0.031631,0.011823,2.116113,29.769002,0.003614,true,true
