label,policy,burst,startup_sec,max_pool,min_pool,initial_pool,requests,workload,seed,n_finished,mean_ttft_s,p99_ttft_s,mean_tpot_s,p99_tpot_s,mean_e2e_s,slo_attainment,cold_start_violations,active_vm_hours,idle_vm_hours,cost_usd,total_energy_kwh,wall_ms
STATIC-med-s15-seed42,STATIC,med,15.0,8,2,4,2000,medium,42,2000,25.7380,55.5318,0.028040,0.031578,49.0228,0.1280,0,0.2220,0.2220,0.4108,0.194040,270
STATIC-med-s15-seed45,STATIC,med,15.0,8,2,4,2000,medium,45,2000,20.2266,46.2305,0.026664,0.030177,42.1178,0.1305,0,0.2181,0.2181,0.4035,0.182427,276
STATIC-med-s15-seed44,STATIC,med,15.0,8,2,4,2000,medium,44,2000,24.2608,55.0647,0.027675,0.031010,47.3351,0.1280,0,0.2222,0.2222,0.4111,0.192286,294
STATIC-med-s15-seed43,STATIC,med,15.0,8,2,4,2000,medium,43,2000,27.1312,56.6290,0.028414,0.032923,50.5025,0.1280,0,0.2287,0.2287,0.4232,0.194761,296
STATIC-med-s15-seed46,STATIC,med,15.0,8,2,4,2000,medium,46,2000,24.2373,54.3113,0.027651,0.031395,47.3683,0.1280,0,0.2203,0.2203,0.4076,0.192759,246
STATIC-med-s15-seed47,STATIC,med,15.0,8,2,4,2000,medium,47,2000,32.4586,72.6335,0.029529,0.035002,56.7298,0.1280,0,0.2397,0.2397,0.4434,0.202259,241
STATIC-med-s15-seed48,STATIC,med,15.0,8,2,4,2000,medium,48,2000,29.8935,66.0018,0.029015,0.033387,53.7573,0.1280,0,0.2304,0.2304,0.4262,0.198865,264
STATIC-med-s15-seed49,STATIC,med,15.0,8,2,4,2000,medium,49,2000,30.7582,65.8659,0.029151,0.033732,54.8644,0.1280,0,0.2305,0.2305,0.4265,0.200886,263
STATIC-med-s15-seed50,STATIC,med,15.0,8,2,4,2000,medium,50,2000,32.0638,70.7570,0.029475,0.034668,56.8035,0.1280,0,0.2409,0.2409,0.4457,0.206164,262
STATIC-med-s15-seed52,STATIC,med,15.0,8,2,4,2000,medium,52,2000,25.7933,57.9432,0.027939,0.031817,49.1394,0.1280,0,0.2297,0.2297,0.4249,0.194551,259
STATIC-med-s15-seed51,STATIC,med,15.0,8,2,4,2000,medium,51,2000,21.8709,48.2687,0.027152,0.031033,44.1817,0.1280,0,0.2196,0.2196,0.4063,0.185924,281
STATIC-med-s15-seed53,STATIC,med,15.0,8,2,4,2000,medium,53,2000,23.1763,47.2670,0.027630,0.031087,45.9218,0.1280,0,0.2187,0.2187,0.4045,0.189546,279
STATIC-med-s15-seed54,STATIC,med,15.0,8,2,4,2000,medium,54,2000,23.9217,48.4737,0.027468,0.031354,46.3438,0.1280,0,0.2185,0.2185,0.4042,0.186851,256
STATIC-med-s15-seed56,STATIC,med,15.0,8,2,4,2000,medium,56,2000,24.4049,55.4983,0.027835,0.031409,47.5663,0.1280,0,0.2222,0.2222,0.4111,0.193012,283
STATIC-med-s15-seed55,STATIC,med,15.0,8,2,4,2000,medium,55,2000,33.7004,75.5485,0.029916,0.035615,58.5658,0.1280,0,0.2427,0.2427,0.4490,0.207212,299
STATIC-med-s15-seed57,STATIC,med,15.0,8,2,4,2000,medium,57,2000,32.6838,71.3888,0.029812,0.034490,57.4548,0.1280,0,0.2409,0.2409,0.4457,0.206425,294
STATIC-med-s15-seed58,STATIC,med,15.0,8,2,4,2000,medium,58,2000,26.9293,58.9064,0.028395,0.032474,50.8929,0.1280,0,0.2311,0.2311,0.4276,0.199697,270
STATIC-med-s15-seed59,STATIC,med,15.0,8,2,4,2000,medium,59,2000,18.6572,36.7428,0.026129,0.030206,39.8246,0.1280,0,0.2078,0.2078,0.3844,0.176395,274
STATIC-med-s15-seed61,STATIC,med,15.0,8,2,4,2000,medium,61,2000,30.5285,66.4132,0.029243,0.033770,54.9094,0.1280,0,0.2329,0.2329,0.4308,0.203174,270
STATIC-med-s15-seed60,STATIC,med,15.0,8,2,4,2000,medium,60,2000,26.1246,61.3082,0.028210,0.032790,49.6339,0.1280,0,0.2305,0.2305,0.4264,0.195910,283
STATIC-high-s15-seed42,STATIC,high,15.0,8,2,4,2000,medium,42,2000,115.8295,316.0101,0.037701,0.050078,173.5346,0.1260,0,0.5743,0.5743,1.0624,0.480875,322
STATIC-high-s15-seed45,STATIC,high,15.0,8,2,4,2000,medium,45,2000,106.7113,310.3128,0.036988,0.049493,160.2887,0.1280,0,0.5327,0.5327,0.9856,0.446478,318
STATIC-high-s15-seed44,STATIC,high,15.0,8,2,4,2000,medium,44,2000,107.0991,271.6457,0.037472,0.049371,155.8773,0.1265,0,0.5059,0.5059,0.9359,0.406485,313
STATIC-high-s15-seed43,STATIC,high,15.0,8,2,4,2000,medium,43,2000,107.8448,268.9187,0.037697,0.049581,155.8582,0.1280,0,0.4853,0.4853,0.8978,0.400111,357
STATIC-high-s15-seed47,STATIC,high,15.0,8,2,4,2000,medium,47,2000,119.3543,355.8753,0.038239,0.052410,176.1217,0.1265,0,0.5535,0.5535,1.0239,0.473062,310
STATIC-high-s15-seed46,STATIC,high,15.0,8,2,4,2000,medium,46,2000,115.3401,347.5985,0.037619,0.050844,173.2716,0.1280,0,0.5744,0.5744,1.0626,0.482762,312
STATIC-high-s15-seed48,STATIC,high,15.0,8,2,4,2000,medium,48,2000,117.9626,354.6711,0.038166,0.051816,175.0190,0.1280,0,0.5526,0.5526,1.0224,0.475470,314
STATIC-high-s15-seed49,STATIC,high,15.0,8,2,4,2000,medium,49,2000,119.7103,324.0218,0.038160,0.051838,177.5914,0.1245,0,0.5742,0.5742,1.0623,0.482342,323
STATIC-high-s15-seed50,STATIC,high,15.0,8,2,4,2000,medium,50,2000,115.2726,282.9249,0.038377,0.052469,166.9900,0.1280,0,0.5313,0.5313,0.9830,0.430978,284
STATIC-high-s15-seed52,STATIC,high,15.0,8,2,4,2000,medium,52,2000,117.2114,353.5986,0.037611,0.050872,174.8260,0.1280,0,0.5550,0.5550,1.0268,0.480122,288
STATIC-high-s15-seed53,STATIC,high,15.0,8,2,4,2000,medium,53,2000,98.4499,252.1380,0.037842,0.049845,144.5003,0.1280,0,0.4392,0.4392,0.8125,0.383753,304
STATIC-high-s15-seed51,STATIC,high,15.0,8,2,4,2000,medium,51,2000,108.7997,316.2024,0.037418,0.050346,163.6696,0.1280,0,0.5520,0.5520,1.0212,0.457249,331
STATIC-high-s15-seed55,STATIC,high,15.0,8,2,4,2000,medium,55,2000,124.8449,363.7296,0.038744,0.052859,185.3293,0.1265,0,0.5971,0.5971,1.1046,0.504036,348
STATIC-high-s15-seed54,STATIC,high,15.0,8,2,4,2000,medium,54,2000,107.6746,310.5614,0.037022,0.049566,160.0990,0.1280,0,0.5305,0.5305,0.9814,0.436871,364
STATIC-high-s15-seed56,STATIC,high,15.0,8,2,4,2000,medium,56,2000,114.8043,348.7729,0.037931,0.050590,172.5650,0.1270,0,0.5756,0.5756,1.0649,0.481339,338
STATIC-high-s15-seed57,STATIC,high,15.0,8,2,4,2000,medium,57,2000,109.5409,285.3005,0.038708,0.052505,158.5517,0.1215,0,0.4877,0.4877,0.9023,0.408423,359
STATIC-high-s15-seed59,STATIC,high,15.0,8,2,4,2000,medium,59,2000,101.3859,270.3676,0.036447,0.047416,151.7478,0.1280,0,0.4885,0.4885,0.9036,0.419682,257
STATIC-high-s15-seed58,STATIC,high,15.0,8,2,4,2000,medium,58,2000,119.4003,355.9718,0.038211,0.051104,179.9461,0.1280,0,0.5964,0.5964,1.1034,0.504548,267
STATIC-high-s15-seed60,STATIC,high,15.0,8,2,4,2000,medium,60,2000,118.2490,358.5979,0.038178,0.052243,177.0941,0.1270,0,0.5776,0.5776,1.0686,0.490376,292
STATIC-high-s15-seed61,STATIC,high,15.0,8,2,4,2000,medium,61,2000,122.2791,357.7880,0.038461,0.052270,182.5193,0.1280,0,0.5958,0.5958,1.1022,0.502002,290
REACTIVE-med-s15-seed42,REACTIVE,med,15.0,8,2,4,2000,medium,42,2000,7.4354,30.2624,0.019524,0.030519,20.3857,0.6155,429,0.2770,0.0256,0.5124,0.107919,233
REACTIVE-med-s15-seed43,REACTIVE,med,15.0,8,2,4,2000,medium,43,2000,8.4376,33.4708,0.019978,0.031419,21.6041,0.5930,415,0.2765,0.0255,0.5116,0.109720,259
REACTIVE-med-s15-seed44,REACTIVE,med,15.0,8,2,4,2000,medium,44,2000,7.0935,29.7033,0.019397,0.030140,20.0159,0.6175,442,0.2783,0.0258,0.5148,0.107687,247
REACTIVE-med-s15-seed45,REACTIVE,med,15.0,8,2,4,2000,medium,45,2000,5.3474,24.7145,0.018567,0.028633,17.5800,0.6615,412,0.2778,0.0257,0.5139,0.101938,251
REACTIVE-med-s15-seed46,REACTIVE,med,15.0,8,2,4,2000,medium,46,2000,6.7196,28.4395,0.019218,0.029789,19.5228,0.6255,410,0.2771,0.0256,0.5126,0.106694,223
REACTIVE-med-s15-seed48,REACTIVE,med,15.0,8,2,4,2000,medium,48,2000,8.5941,32.3659,0.020105,0.030713,21.8902,0.5740,449,0.2637,0.0233,0.4879,0.110801,232
REACTIVE-med-s15-seed47,REACTIVE,med,15.0,8,2,4,2000,medium,47,2000,9.1912,34.8532,0.020420,0.031637,22.7764,0.5580,452,0.2590,0.0249,0.4792,0.113209,245
REACTIVE-med-s15-seed49,REACTIVE,med,15.0,8,2,4,2000,medium,49,2000,8.8852,33.6539,0.020249,0.031184,22.3647,0.5750,438,0.2586,0.0249,0.4784,0.112330,242
REACTIVE-med-s15-seed51,REACTIVE,med,15.0,8,2,4,2000,medium,51,2000,5.9012,26.3645,0.018744,0.028711,18.1976,0.6450,395,0.2770,0.0256,0.5125,0.102470,224
