label,policy,burst,startup_sec,max_pool,min_pool,initial_pool,requests,workload,seed,n_finished,mean_ttft_s,p99_ttft_s,mean_tpot_s,p99_tpot_s,mean_e2e_s,slo_attainment,cold_start_violations,active_vm_hours,idle_vm_hours,cost_usd,total_energy_kwh,wall_ms
STATIC-low-s5-seed44,STATIC,low,5.0,8,2,4,300,medium,44,300,11.2913,34.9259,0.028495,0.030712,296.3133,0.0133,0,1.2124,1.2124,2.2429,0.356278,138
STATIC-low-s5-seed43,STATIC,low,5.0,8,2,4,300,medium,43,300,12.6903,39.0902,0.028541,0.031015,411.1397,0.0133,0,2.1374,2.1374,3.9541,0.498062,142
STATIC-low-s5-seed45,STATIC,low,5.0,8,2,4,300,medium,45,300,10.2416,43.8244,0.028133,0.030232,402.3714,0.0300,0,1.8672,1.8672,3.4543,0.490162,159
STATIC-low-s5-seed42,STATIC,low,5.0,8,2,4,300,medium,42,300,11.9097,35.7523,0.028463,0.030897,496.5392,0.0167,0,2.2214,2.2214,4.1095,0.605787,160
STATIC-low-s15-seed42,STATIC,low,15.0,8,2,4,300,medium,42,300,11.9097,35.7523,0.028463,0.030897,496.5392,0.0167,0,2.2214,2.2214,4.1095,0.605787,149
STATIC-low-s5-seed46,STATIC,low,5.0,8,2,4,300,medium,46,300,12.2123,35.3459,0.027963,0.030464,565.3282,0.0133,0,2.7920,2.7920,5.1652,0.691395,149
STATIC-low-s15-seed43,STATIC,low,15.0,8,2,4,300,medium,43,300,12.6903,39.0902,0.028541,0.031015,411.1397,0.0133,0,2.1374,2.1374,3.9541,0.498062,151
STATIC-low-s15-seed44,STATIC,low,15.0,8,2,4,300,medium,44,300,11.2913,34.9259,0.028495,0.030712,296.3133,0.0133,0,1.2124,1.2124,2.2429,0.356278,145
STATIC-low-s15-seed45,STATIC,low,15.0,8,2,4,300,medium,45,300,10.2416,43.8244,0.028133,0.030232,402.3714,0.0300,0,1.8672,1.8672,3.4543,0.490162,158
STATIC-low-s15-seed46,STATIC,low,15.0,8,2,4,300,medium,46,300,12.2123,35.3459,0.027963,0.030464,565.3282,0.0133,0,2.7920,2.7920,5.1652,0.691395,164
STATIC-low-s30-seed42,STATIC,low,30.0,8,2,4,300,medium,42,300,11.9097,35.7523,0.028463,0.030897,496.5392,0.0167,0,2.2214,2.2214,4.1095,0.605787,144
STATIC-low-s30-seed43,STATIC,low,30.0,8,2,4,300,medium,43,300,12.6903,39.0902,0.028541,0.031015,411.1397,0.0133,0,2.1374,2.1374,3.9541,0.498062,158
STATIC-low-s30-seed44,STATIC,low,30.0,8,2,4,300,medium,44,300,11.2913,34.9259,0.028495,0.030712,296.3133,0.0133,0,1.2124,1.2124,2.2429,0.356278,148
STATIC-low-s30-seed46,STATIC,low,30.0,8,2,4,300,medium,46,300,12.2123,35.3459,0.027963,0.030464,565.3282,0.0133,0,2.7920,2.7920,5.1652,0.691395,152
STATIC-low-s30-seed45,STATIC,low,30.0,8,2,4,300,medium,45,300,10.2416,43.8244,0.028133,0.030232,402.3714,0.0300,0,1.8672,1.8672,3.4543,0.490162,151
STATIC-med-s5-seed42,STATIC,med,5.0,8,2,4,300,medium,42,300,19.0375,108.5127,0.028237,0.030846,869.3776,0.0133,0,8.5353,8.5353,15.7903,1.062925,159
STATIC-med-s5-seed43,STATIC,med,5.0,8,2,4,300,medium,43,300,18.1111,55.7899,0.028263,0.031014,420.9435,0.0133,0,2.1517,2.1517,3.9807,0.503541,148
STATIC-med-s5-seed44,STATIC,med,5.0,8,2,4,300,medium,44,300,18.2773,89.8726,0.027587,0.030714,457.7590,0.0133,0,2.9429,2.9429,5.4443,0.549352,165
STATIC-med-s5-seed46,STATIC,med,5.0,8,2,4,300,medium,46,300,18.8114,48.7550,0.026706,0.031117,158.0758,0.0267,0,1.0712,1.0712,1.9816,0.174081,144
STATIC-med-s5-seed45,STATIC,med,5.0,8,2,4,300,medium,45,300,19.0247,26.7803,0.026740,0.028407,37.0411,0.0133,0,0.1126,0.1126,0.2083,0.022520,175
STATIC-med-s15-seed44,STATIC,med,15.0,8,2,4,300,medium,44,300,18.2773,89.8726,0.027587,0.030714,457.7590,0.0133,0,2.9429,2.9429,5.4443,0.549352,159
STATIC-med-s15-seed43,STATIC,med,15.0,8,2,4,300,medium,43,300,18.1111,55.7899,0.028263,0.031014,420.9435,0.0133,0,2.1517,2.1517,3.9807,0.503541,167
STATIC-med-s15-seed42,STATIC,med,15.0,8,2,4,300,medium,42,300,19.0375,108.5127,0.028237,0.030846,869.3776,0.0133,0,8.5353,8.5353,15.7903,1.062925,166
STATIC-med-s15-seed45,STATIC,med,15.0,8,2,4,300,medium,45,300,19.0247,26.7803,0.026740,0.028407,37.0411,0.0133,0,0.1126,0.1126,0.2083,0.022520,162
STATIC-med-s30-seed43,STATIC,med,30.0,8,2,4,300,medium,43,300,18.1111,55.7899,0.028263,0.031014,420.9435,0.0133,0,2.1517,2.1517,3.9807,0.503541,164
STATIC-med-s30-seed44,STATIC,med,30.0,8,2,4,300,medium,44,300,18.2773,89.8726,0.027587,0.030714,457.7590,0.0133,0,2.9429,2.9429,5.4443,0.549352,160
STATIC-med-s15-seed46,STATIC,med,15.0,8,2,4,300,medium,46,300,18.8114,48.7550,0.026706,0.031117,158.0758,0.0267,0,1.0712,1.0712,1.9816,0.174081,164
STATIC-med-s30-seed42,STATIC,med,30.0,8,2,4,300,medium,42,300,19.0375,108.5127,0.028237,0.030846,869.3776,0.0133,0,8.5353,8.5353,15.7903,1.062925,170
STATIC-med-s30-seed45,STATIC,med,30.0,8,2,4,300,medium,45,300,19.0247,26.7803,0.026740,0.028407,37.0411,0.0133,0,0.1126,0.1126,0.2083,0.022520,150
STATIC-med-s30-seed46,STATIC,med,30.0,8,2,4,300,medium,46,300,18.8114,48.7550,0.026706,0.031117,158.0758,0.0267,0,1.0712,1.0712,1.9816,0.174081,157
STATIC-high-s5-seed43,STATIC,high,5.0,8,2,4,300,medium,43,300,19.0457,113.5863,0.028180,0.031280,212.0447,0.0167,0,3.1661,3.1661,5.8574,0.241249,160
STATIC-high-s5-seed42,STATIC,high,5.0,8,2,4,300,medium,42,300,11.5277,29.5479,0.026913,0.028710,24.8700,0.1167,0,0.0815,0.0815,0.1507,0.016678,165
STATIC-high-s5-seed44,STATIC,high,5.0,8,2,4,300,medium,44,300,19.1000,113.0793,0.027974,0.030712,346.6958,0.0133,0,2.1518,2.1518,3.9809,0.409495,163
STATIC-high-s15-seed42,STATIC,high,15.0,8,2,4,300,medium,42,300,11.5277,29.5479,0.026913,0.028710,24.8700,0.1167,0,0.0815,0.0815,0.1507,0.016678,161
STATIC-high-s5-seed45,STATIC,high,5.0,8,2,4,300,medium,45,300,18.3073,30.2543,0.026167,0.027040,29.9933,0.0400,0,0.0836,0.0836,0.1546,0.014608,172
STATIC-high-s5-seed46,STATIC,high,5.0,8,2,4,300,medium,46,300,8.3558,25.5264,0.026543,0.028096,21.8536,0.1933,0,0.0764,0.0764,0.1413,0.016872,191
STATIC-high-s15-seed43,STATIC,high,15.0,8,2,4,300,medium,43,300,19.0457,113.5863,0.028180,0.031280,212.0447,0.0167,0,3.1661,3.1661,5.8574,0.241249,156
STATIC-high-s15-seed44,STATIC,high,15.0,8,2,4,300,medium,44,300,19.1000,113.0793,0.027974,0.030712,346.6958,0.0133,0,2.1518,2.1518,3.9809,0.409495,193
STATIC-high-s15-seed46,STATIC,high,15.0,8,2,4,300,medium,46,300,8.3558,25.5264,0.026543,0.028096,21.8536,0.1933,0,0.0764,0.0764,0.1413,0.016872,193
STATIC-high-s15-seed45,STATIC,high,15.0,8,2,4,300,medium,45,300,18.3073,30.2543,0.026167,0.027040,29.9933,0.0400,0,0.0836,0.0836,0.1546,0.014608,187
STATIC-high-s30-seed42,STATIC,high,30.0,8,2,4,300,medium,42,300,11.5277,29.5479,0.026913,0.028710,24.8700,0.1167,0,0.0815,0.0815,0.1507,0.016678,164
STATIC-high-s30-seed44,STATIC,high,30.0,8,2,4,300,medium,44,300,19.1000,113.0793,0.027974,0.030712,346.6958,0.0133,0,2.1518,2.1518,3.9809,0.409495,176
STATIC-high-s30-seed45,STATIC,high,30.0,8,2,4,300,medium,45,300,18.3073,30.2543,0.026167,0.027040,29.9933,0.0400,0,0.0836,0.0836,0.1546,0.014608,187
STATIC-high-s30-seed43,STATIC,high,30.0,8,2,4,300,medium,43,300,19.0457,113.5863,0.028180,0.031280,212.0447,0.0167,0,3.1661,3.1661,5.8574,0.241249,203
REACTIVE-low-s5-seed42,REACTIVE,low,5.0,8,2,4,300,medium,42,300,11.9097,35.7523,0.028463,0.030897,496.5392,0.0167,0,1.1374,3.3054,2.1041,0.605787,157
STATIC-high-s30-seed46,STATIC,high,30.0,8,2,4,300,medium,46,300,8.3558,25.5264,0.026543,0.028096,21.8536,0.1933,0,0.0764,0.0764,0.1413,0.016872,168
REACTIVE-low-s5-seed43,REACTIVE,low,5.0,8,2,4,300,medium,43,300,12.6903,39.0902,0.028541,0.031015,411.1397,0.0133,0,1.0954,3.1794,2.0264,0.498062,152
REACTIVE-low-s5-seed44,REACTIVE,low,5.0,8,2,4,300,medium,44,300,11.2913,34.9259,0.028495,0.030712,296.3133,0.0133,0,0.6328,1.7919,1.1708,0.356278,153
REACTIVE-low-s15-seed43,REACTIVE,low,15.0,8,2,4,300,medium,43,300,12.6903,39.0902,0.028541,0.031015,411.1397,0.0133,0,1.0954,3.1794,2.0264,0.498062,157
REACTIVE-low-s5-seed45,REACTIVE,low,5.0,8,2,4,300,medium,45,300,10.2416,43.8244,0.028133,0.030232,402.3714,0.0300,0,0.9603,2.7741,1.7765,0.490162,150
