label,policy,hour,requests,workload,seed,lambda,n_finished,mean_ttft_s,p99_ttft_s,mean_tpot_s,p99_tpot_s,mean_e2e_s,slo_attainment,total_energy_kwh,total_carbon_kg,wall_ms
LATENCY_GREEDY-h0-short-s42,LATENCY_GREEDY,0,500,short,42,0.0050,500,0.7605,4.0511,0.022897,0.023126,3.9607,0.5780,0.006667,0.053041,160
CARBON_AWARE-h0-short-s42,CARBON_AWARE,0,500,short,42,0.0050,500,1.1706,3.3880,0.024295,0.024954,5.4066,0.1380,0.009033,0.004956,167
BLENDED-h0-short-s42,BLENDED,0,500,short,42,0.0050,500,1.1706,3.3880,0.024295,0.024954,5.4066,0.1380,0.009033,0.004956,158
LATENCY_GREEDY-h3-short-s42,LATENCY_GREEDY,3,500,short,42,0.0050,500,0.7605,4.0511,0.022897,0.023126,3.9607,0.5780,0.006667,0.051128,145
CARBON_AWARE-h3-short-s42,CARBON_AWARE,3,500,short,42,0.0050,500,1.1706,3.3880,0.024295,0.024954,5.4066,0.1380,0.009033,0.004956,175
BLENDED-h3-short-s42,BLENDED,3,500,short,42,0.0050,500,1.1706,3.3880,0.024295,0.024954,5.4066,0.1380,0.009033,0.004956,160
LATENCY_GREEDY-h6-short-s42,LATENCY_GREEDY,6,500,short,42,0.0050,500,0.7605,4.0511,0.022897,0.023126,3.9607,0.5780,0.006667,0.055524,139
CARBON_AWARE-h6-short-s42,CARBON_AWARE,6,500,short,42,0.0050,500,1.1706,3.3880,0.024295,0.024954,5.4066,0.1380,0.009033,0.004956,169
BLENDED-h6-short-s42,BLENDED,6,500,short,42,0.0050,500,1.1706,3.3880,0.024295,0.024954,5.4066,0.1380,0.009033,0.004956,162
LATENCY_GREEDY-h9-short-s42,LATENCY_GREEDY,9,500,short,42,0.0050,500,0.7605,4.0511,0.022897,0.023126,3.9607,0.5780,0.006667,0.059917,143
CARBON_AWARE-h9-short-s42,CARBON_AWARE,9,500,short,42,0.0050,500,1.1706,3.3880,0.024295,0.024954,5.4066,0.1380,0.009033,0.004956,161
BLENDED-h9-short-s42,BLENDED,9,500,short,42,0.0050,500,1.1706,3.3880,0.024295,0.024954,5.4066,0.1380,0.009033,0.004956,171
LATENCY_GREEDY-h12-short-s42,LATENCY_GREEDY,12,500,short,42,0.0050,500,0.7605,4.0511,0.022897,0.023126,3.9607,0.5780,0.006667,0.061736,140
CARBON_AWARE-h12-short-s42,CARBON_AWARE,12,500,short,42,0.0050,500,1.1706,3.3880,0.024295,0.024954,5.4066,0.1380,0.009033,0.004956,162
BLENDED-h12-short-s42,BLENDED,12,500,short,42,0.0050,500,1.1706,3.3880,0.024295,0.024954,5.4066,0.1380,0.009033,0.004956,166
LATENCY_GREEDY-h15-short-s42,LATENCY_GREEDY,15,500,short,42,0.0050,500,0.7605,4.0511,0.022897,0.023126,3.9607,0.5780,0.006667,0.059916,145
CARBON_AWARE-h15-short-s42,CARBON_AWARE,15,500,short,42,0.0050,500,1.1706,3.3880,0.024295,0.024954,5.4066,0.1380,0.009033,0.004956,152
BLENDED-h15-short-s42,BLENDED,15,500,short,42,0.0050,500,1.1706,3.3880,0.024295,0.024954,5.4066,0.1380,0.009033,0.004956,166
LATENCY_GREEDY-h18-short-s42,LATENCY_GREEDY,18,500,short,42,0.0050,500,0.7605,4.0511,0.022897,0.023126,3.9607,0.5780,0.006667,0.059256,136
CARBON_AWARE-h18-short-s42,CARBON_AWARE,18,500,short,42,0.0050,500,1.1706,3.3880,0.024295,0.024954,5.4066,0.1380,0.009033,0.004956,179
BLENDED-h18-short-s42,BLENDED,18,500,short,42,0.0050,500,1.1706,3.3880,0.024295,0.024954,5.4066,0.1380,0.009033,0.004956,164
LATENCY_GREEDY-h21-short-s42,LATENCY_GREEDY,21,500,short,42,0.0050,500,0.7605,4.0511,0.022897,0.023126,3.9607,0.5780,0.006667,0.056408,139
CARBON_AWARE-h21-short-s42,CARBON_AWARE,21,500,short,42,0.0050,500,1.1706,3.3880,0.024295,0.024954,5.4066,0.1380,0.009033,0.004956,159
BLENDED-h21-short-s42,BLENDED,21,500,short,42,0.0050,500,1.1706,3.3880,0.024295,0.024954,5.4066,0.1380,0.009033,0.004956,173
LATENCY_GREEDY-h0-medium-s42,LATENCY_GREEDY,0,500,medium,42,0.0050,500,9.4607,17.0936,0.026694,0.027474,21.7281,0.0240,0.025557,0.328140,140
CARBON_AWARE-h0-medium-s42,CARBON_AWARE,0,500,medium,42,0.0050,500,13.1219,33.9622,0.032535,0.035938,32.4895,0.0380,0.040558,0.029782,176
BLENDED-h0-medium-s42,BLENDED,0,500,medium,42,0.0050,500,13.1219,33.9622,0.032535,0.035938,32.4895,0.0380,0.040558,0.029782,172
LATENCY_GREEDY-h3-medium-s42,LATENCY_GREEDY,3,500,medium,42,0.0050,500,9.4607,17.0936,0.026694,0.027474,21.7281,0.0240,0.025557,0.317550,147
CARBON_AWARE-h3-medium-s42,CARBON_AWARE,3,500,medium,42,0.0050,500,13.1219,33.9622,0.032535,0.035938,32.4895,0.0380,0.040558,0.029782,176
