label,mix,policy,requests,workload,seed,n_finished,mean_ttft_s,p99_ttft_s,mean_tpot_s,p99_tpot_s,mean_e2e_s,slo_attainment,total_energy_kwh,total_carbon_kg,wall_ms
a100x8-FREE_HBM-short-s43,a100x8,FREE_HBM,500,short,43,500,0.9128,4.0423,0.023411,0.023929,4.4959,0.5140,0.007107,0.003106,197
a100x8-FREE_HBM-short-s44,a100x8,FREE_HBM,500,short,44,500,0.7755,3.7125,0.023245,0.023621,4.2432,0.5920,0.006878,0.003006,201
a100x8-FREE_HBM-short-s42,a100x8,FREE_HBM,500,short,42,500,0.7665,4.2075,0.023217,0.023672,4.2348,0.5860,0.006879,0.003006,221
a100x8-FREE_HBM-short-s45,a100x8,FREE_HBM,500,short,45,500,0.5903,3.3206,0.023151,0.023502,4.0733,0.6640,0.006908,0.003019,228
a100x8-EST_TTFT-short-s42,a100x8,EST_TTFT,500,short,42,500,0.7665,4.2075,0.023217,0.023672,4.2348,0.5860,0.006879,0.003006,220
a100x8-FREE_HBM-short-s46,a100x8,FREE_HBM,500,short,46,500,0.9539,4.5543,0.023291,0.023725,4.4664,0.5420,0.006967,0.003045,222
a100x8-EST_TTFT-short-s43,a100x8,EST_TTFT,500,short,43,500,0.9128,4.0423,0.023411,0.023929,4.4959,0.5140,0.007107,0.003106,208
a100x8-EST_TTFT-short-s44,a100x8,EST_TTFT,500,short,44,500,0.7755,3.7125,0.023245,0.023621,4.2432,0.5920,0.006878,0.003006,219
h100x8-FREE_HBM-short-s43,h100x8,FREE_HBM,500,short,43,500,0.3566,1.9905,0.013943,0.014142,2.2686,0.7720,0.006535,0.002856,214
h100x8-FREE_HBM-short-s42,h100x8,FREE_HBM,500,short,42,500,0.3171,2.0847,0.013894,0.014029,2.2000,0.8020,0.006436,0.002813,224
a100x8-EST_TTFT-short-s45,a100x8,EST_TTFT,500,short,45,500,0.5903,3.3206,0.023151,0.023502,4.0733,0.6640,0.006908,0.003019,220
a100x8-EST_TTFT-short-s46,a100x8,EST_TTFT,500,short,46,500,0.9539,4.5543,0.023291,0.023725,4.4664,0.5420,0.006967,0.003045,220
h100x8-FREE_HBM-short-s45,h100x8,FREE_HBM,500,short,45,500,0.2734,1.6346,0.013879,0.013989,2.1639,0.8480,0.006462,0.002824,213
h100x8-FREE_HBM-short-s44,h100x8,FREE_HBM,500,short,44,500,0.3281,1.8873,0.013904,0.014053,2.1961,0.7900,0.006385,0.002790,227
h100x8-FREE_HBM-short-s46,h100x8,FREE_HBM,500,short,46,500,0.3700,2.3401,0.013905,0.014080,2.2590,0.7820,0.006456,0.002821,227
h100x8-EST_TTFT-short-s42,h100x8,EST_TTFT,500,short,42,500,0.3171,2.0847,0.013894,0.014029,2.2000,0.8020,0.006436,0.002813,249
h100x8-EST_TTFT-short-s43,h100x8,EST_TTFT,500,short,43,500,0.3566,1.9905,0.013943,0.014142,2.2686,0.7720,0.006535,0.002856,206
h100x8-EST_TTFT-short-s44,h100x8,EST_TTFT,500,short,44,500,0.3281,1.8873,0.013904,0.014053,2.1961,0.7900,0.006385,0.002790,223
h100x8-EST_TTFT-short-s45,h100x8,EST_TTFT,500,short,45,500,0.2734,1.6346,0.013879,0.013989,2.1639,0.8480,0.006462,0.002824,226
h100x8-EST_TTFT-short-s46,h100x8,EST_TTFT,500,short,46,500,0.3700,2.3401,0.013905,0.014080,2.2590,0.7820,0.006456,0.002821,212
l40sx8-FREE_HBM-short-s44,l40sx8,FREE_HBM,500,short,44,500,3.2272,8.8079,0.054290,0.055197,10.3896,0.0000,0.012317,0.005382,189
l40sx8-FREE_HBM-short-s43,l40sx8,FREE_HBM,500,short,43,500,3.6635,9.3313,0.054459,0.055410,10.7817,0.0000,0.012241,0.005349,214
l40sx8-FREE_HBM-short-s45,l40sx8,FREE_HBM,500,short,45,500,2.4241,8.5659,0.054033,0.055228,9.7638,0.0000,0.012621,0.005516,224
l40sx8-FREE_HBM-short-s42,l40sx8,FREE_HBM,500,short,42,500,3.1162,9.7549,0.054049,0.055082,10.2783,0.0000,0.012316,0.005382,229
l40sx8-EST_TTFT-short-s44,l40sx8,EST_TTFT,500,short,44,500,3.2272,8.8079,0.054290,0.055197,10.3896,0.0000,0.012317,0.005382,199
l40sx8-FREE_HBM-short-s46,l40sx8,FREE_HBM,500,short,46,500,3.8490,10.5759,0.054364,0.055255,10.9963,0.0000,0.012291,0.005371,230
l40sx8-EST_TTFT-short-s43,l40sx8,EST_TTFT,500,short,43,500,3.6635,9.3313,0.054459,0.055410,10.7817,0.0000,0.012241,0.005349,203
l40sx8-EST_TTFT-short-s42,l40sx8,EST_TTFT,500,short,42,500,3.1162,9.7549,0.054049,0.055082,10.2783,0.0000,0.012316,0.005382,218
a100x4_h100x4-FREE_HBM-short-s42,a100x4_h100x4,FREE_HBM,500,short,42,500,0.4866,2.5672,0.018573,0.023470,3.1441,0.7060,0.007177,0.003137,211
l40sx8-EST_TTFT-short-s45,l40sx8,EST_TTFT,500,short,45,500,2.4241,8.5659,0.054033,0.055228,9.7638,0.0000,0.012621,0.005516,225
a100x4_h100x4-FREE_HBM-short-s43,a100x4_h100x4,FREE_HBM,500,short,43,500,0.6286,3.9651,0.018702,0.023929,3.3673,0.6460,0.007397,0.003232,219
l40sx8-EST_TTFT-short-s46,l40sx8,EST_TTFT,500,short,46,500,3.8490,10.5759,0.054364,0.055255,10.9963,0.0000,0.012291,0.005371,223
a100x4_h100x4-FREE_HBM-short-s44,a100x4_h100x4,FREE_HBM,500,short,44,500,0.5200,2.9625,0.018606,0.023582,3.1979,0.7020,0.007232,0.003160,199
a100x4_h100x4-EST_TTFT-short-s42,a100x4_h100x4,EST_TTFT,500,short,42,500,0.4866,2.5672,0.018573,0.023470,3.1441,0.7060,0.007177,0.003137,229
a100x4_h100x4-FREE_HBM-short-s45,a100x4_h100x4,FREE_HBM,500,short,45,500,0.4206,3.2252,0.018547,0.023464,3.0998,0.7680,0.007236,0.003162,242
a100x4_h100x4-FREE_HBM-short-s46,a100x4_h100x4,FREE_HBM,500,short,46,500,0.6801,4.5249,0.018655,0.023725,3.4007,0.6620,0.007347,0.003211,243
a100x4_h100x4-EST_TTFT-short-s43,a100x4_h100x4,EST_TTFT,500,short,43,500,0.6286,3.9651,0.018702,0.023929,3.3673,0.6460,0.007397,0.003232,215
a100x4_h100x4-EST_TTFT-short-s45,a100x4_h100x4,EST_TTFT,500,short,45,500,0.4206,3.2252,0.018547,0.023464,3.0998,0.7680,0.007236,0.003162,206
a100x4_h100x4-EST_TTFT-short-s44,a100x4_h100x4,EST_TTFT,500,short,44,500,0.5200,2.9625,0.018606,0.023582,3.1979,0.7020,0.007232,0.003160,205
a100x4_h100x4-EST_TTFT-short-s46,a100x4_h100x4,EST_TTFT,500,short,46,500,0.6801,4.5249,0.018655,0.023725,3.4007,0.6620,0.007347,0.003211,206
a100x4_l40sx4-FREE_HBM-short-s43,a100x4_l40sx4,FREE_HBM,500,short,43,500,2.3415,8.5478,0.038837,0.055162,7.6893,0.2620,0.009902,0.004327,199
a100x4_l40sx4-FREE_HBM-short-s42,a100x4_l40sx4,FREE_HBM,500,short,42,500,2.1478,9.7549,0.038549,0.055082,7.4784,0.3180,0.009870,0.004313,217
a100x4_l40sx4-FREE_HBM-short-s44,a100x4_l40sx4,FREE_HBM,500,short,44,500,2.1331,8.8079,0.038648,0.055071,7.3908,0.3140,0.009735,0.004254,202
a100x4_l40sx4-FREE_HBM-short-s45,a100x4_l40sx4,FREE_HBM,500,short,45,500,1.4990,6.8198,0.038458,0.055014,6.9119,0.3400,0.010022,0.004380,223
a100x4_l40sx4-EST_TTFT-short-s43,a100x4_l40sx4,EST_TTFT,500,short,43,500,2.3415,8.5478,0.038837,0.055162,7.6893,0.2620,0.009902,0.004327,198
a100x4_l40sx4-EST_TTFT-short-s44,a100x4_l40sx4,EST_TTFT,500,short,44,500,2.1331,8.8079,0.038648,0.055071,7.3908,0.3140,0.009735,0.004254,203
a100x4_l40sx4-EST_TTFT-short-s42,a100x4_l40sx4,EST_TTFT,500,short,42,500,2.1478,9.7549,0.038549,0.055082,7.4784,0.3180,0.009870,0.004313,214
a100x4_l40sx4-FREE_HBM-short-s46,a100x4_l40sx4,FREE_HBM,500,short,46,500,2.2928,9.4017,0.038670,0.055242,7.6378,0.2740,0.009897,0.004325,214
h100x2_a100x4_l40sx2-FREE_HBM-short-s42,h100x2_a100x4_l40sx2,FREE_HBM,500,short,42,500,1.0639,5.1710,0.028460,0.054537,5.0781,0.4780,0.009137,0.003993,215
h100x2_a100x4_l40sx2-FREE_HBM-short-s43,h100x2_a100x4_l40sx2,FREE_HBM,500,short,43,500,1.6541,8.5478,0.028809,0.055162,5.6927,0.4540,0.009193,0.004017,212
a100x4_l40sx4-EST_TTFT-short-s45,a100x4_l40sx4,EST_TTFT,500,short,45,500,1.4990,6.8198,0.038458,0.055014,6.9119,0.3400,0.010022,0.004380,241
a100x4_l40sx4-EST_TTFT-short-s46,a100x4_l40sx4,EST_TTFT,500,short,46,500,2.2928,9.4017,0.038670,0.055242,7.6378,0.2740,0.009897,0.004325,240
h100x2_a100x4_l40sx2-FREE_HBM-short-s44,h100x2_a100x4_l40sx2,FREE_HBM,500,short,44,500,1.2091,7.7520,0.028563,0.054956,5.2215,0.4880,0.009133,0.003991,187
h100x2_a100x4_l40sx2-FREE_HBM-short-s46,h100x2_a100x4_l40sx2,FREE_HBM,500,short,46,500,1.4269,9.4017,0.028571,0.054844,5.4499,0.4580,0.009157,0.004002,202
h100x2_a100x4_l40sx2-FREE_HBM-short-s45,h100x2_a100x4_l40sx2,FREE_HBM,500,short,45,500,0.9694,6.6377,0.028454,0.054828,5.0122,0.5360,0.009202,0.004021,237
h100x2_a100x4_l40sx2-EST_TTFT-short-s42,h100x2_a100x4_l40sx2,EST_TTFT,500,short,42,500,1.0639,5.1710,0.028460,0.054537,5.0781,0.4780,0.009137,0.003993,235
h100x2_a100x4_l40sx2-EST_TTFT-short-s43,h100x2_a100x4_l40sx2,EST_TTFT,500,short,43,500,1.6541,8.5478,0.028809,0.055162,5.6927,0.4540,0.009193,0.004017,210
h100x2_a100x4_l40sx2-EST_TTFT-short-s44,h100x2_a100x4_l40sx2,EST_TTFT,500,short,44,500,1.2091,7.7520,0.028563,0.054956,5.2215,0.4880,0.009133,0.003991,201
h100x2_a100x4_l40sx2-EST_TTFT-short-s45,h100x2_a100x4_l40sx2,EST_TTFT,500,short,45,500,0.9694,6.6377,0.028454,0.054828,5.0122,0.5360,0.009202,0.004021,221
h100x2_a100x4_l40sx2-EST_TTFT-short-s46,h100x2_a100x4_l40sx2,EST_TTFT,500,short,46,500,1.4269,9.4017,0.028571,0.054844,5.4499,0.4580,0.009157,0.004002,210
h100x4_l40sx4-FREE_HBM-short-s43,h100x4_l40sx4,FREE_HBM,500,short,43,500,2.0696,8.5478,0.034078,0.055162,6.5906,0.3880,0.011614,0.005075,203
h100x4_l40sx4-FREE_HBM-short-s42,h100x4_l40sx4,FREE_HBM,500,short,42,500,1.9783,9.7549,0.033871,0.055082,6.5343,0.4140,0.011703,0.005114,210
h100x4_l40sx4-FREE_HBM-short-s44,h100x4_l40sx4,FREE_HBM,500,short,44,500,1.9412,8.8079,0.033947,0.055071,6.3890,0.4020,0.011425,0.004993,206
h100x4_l40sx4-FREE_HBM-short-s45,h100x4_l40sx4,FREE_HBM,500,short,45,500,1.3517,6.8198,0.033790,0.055014,5.9759,0.4200,0.011879,0.005191,227
