label,config,routing,requests,seed,n_finished,mean_ttft_s,p99_ttft_s,mean_tpot_s,p99_tpot_s,mean_e2e_s,slo_attainment,total_energy_kwh,joules_per_token,wall_ms
tp1x8-ROUND_ROBIN-r10-s44,tp1x8,ROUND_ROBIN,1500,44,1500,0.2185,0.7313,0.013633,0.016847,5.5403,1.0000,0.073892,0.6022,207
tp1x8-ROUND_ROBIN-r10-s42,tp1x8,ROUND_ROBIN,1500,42,1500,0.2220,0.7351,0.013842,0.018349,5.7543,1.0000,0.074205,0.5970,216
tp1x8-ROUND_ROBIN-r10-s43,tp1x8,ROUND_ROBIN,1500,43,1500,0.2095,0.7266,0.013575,0.017749,5.5801,1.0000,0.075614,0.5978,231
tp1x8-ROUND_ROBIN-r10-s45,tp1x8,ROUND_ROBIN,1500,45,1500,0.2208,0.7327,0.013671,0.017007,5.6010,1.0000,0.075977,0.6171,231
tp1x8-ROUND_ROBIN-r10-s47,tp1x8,ROUND_ROBIN,1500,47,1500,0.2279,0.7407,0.013775,0.019471,5.5924,1.0000,0.078215,0.6420,227
tp1x8-ROUND_ROBIN-r10-s46,tp1x8,ROUND_ROBIN,1500,46,1500,0.2114,0.7303,0.013474,0.017936,5.3725,1.0000,0.078394,0.6373,228
tp1x8-ROUND_ROBIN-r10-s49,tp1x8,ROUND_ROBIN,1500,49,1500,0.2193,0.7337,0.013552,0.016844,5.6178,1.0000,0.077464,0.6119,220
tp1x8-ROUND_ROBIN-r10-s48,tp1x8,ROUND_ROBIN,1500,48,1500,0.2170,0.7310,0.013733,0.020400,5.5995,1.0000,0.077692,0.6269,221
tp1x8-ROUND_ROBIN-r10-s53,tp1x8,ROUND_ROBIN,1500,53,1500,0.2129,0.7249,0.013495,0.017922,5.5062,1.0000,0.078716,0.6286,189
tp1x8-ROUND_ROBIN-r10-s50,tp1x8,ROUND_ROBIN,1500,50,1500,0.2149,0.7338,0.013600,0.018459,5.4940,1.0000,0.076962,0.6268,223
tp1x8-ROUND_ROBIN-r10-s52,tp1x8,ROUND_ROBIN,1500,52,1500,0.2254,0.7325,0.013597,0.016838,5.6389,1.0000,0.079094,0.6288,244
