label,mode,prefill_gpus,decode_gpus,requests,workload,kv_bw_gbs,seed,n_finished,mean_ttft_s,p99_ttft_s,mean_tpot_s,p99_tpot_s,mean_e2e_s,slo_attainment,total_energy_kwh,total_carbon_kg,wall_ms
baseline-short-s43,colocated,8,0,500,short,200.0,43,500,0.9128,4.0423,0.023411,0.023929,4.4959,0.5140,0.007107,0.003106,257
baseline-short-s45,colocated,8,0,500,short,200.0,45,500,0.5903,3.3206,0.023151,0.023502,4.0733,0.6640,0.006908,0.003019,254
baseline-short-s42,colocated,8,0,500,short,200.0,42,500,0.7665,4.2075,0.023217,0.023672,4.2348,0.5860,0.006879,0.003006,264
baseline-short-s44,colocated,8,0,500,short,200.0,44,500,0.7755,3.7125,0.023245,0.023621,4.2432,0.5920,0.006878,0.003006,277
baseline-short-s46,colocated,8,0,500,short,200.0,46,500,0.9539,4.5543,0.023291,0.023725,4.4664,0.5420,0.006967,0.003045,255
sw-short-1p7d-kv100-s42,splitwise,1,7,500,short,100.0,42,500,2.8250,4.9510,0.023287,0.023846,6.2544,0.0660,0.007749,0.003386,259
sw-short-1p7d-kv100-s43,splitwise,1,7,500,short,100.0,43,500,3.6457,6.4938,0.023251,0.024002,10.4309,0.0520,0.015158,0.006624,269
sw-short-1p7d-kv100-s44,splitwise,1,7,500,short,100.0,44,500,3.0298,5.4492,0.023001,0.023430,13.5604,0.0660,0.021149,0.009242,269
sw-short-1p7d-kv100-s45,splitwise,1,7,500,short,100.0,45,500,2.4283,5.1452,0.023233,0.023710,7.1406,0.0920,0.010102,0.004415,262
sw-short-1p7d-kv100-s46,splitwise,1,7,500,short,100.0,46,500,2.7832,5.1200,0.023347,0.023868,4.5285,0.0340,0.004444,0.001942,312
sw-short-2p6d-kv100-s43,splitwise,2,6,500,short,100.0,43,500,1.1092,3.5652,0.022824,0.023177,69.5526,0.3280,0.135758,0.059326,340
sw-short-2p6d-kv100-s42,splitwise,2,6,500,short,100.0,42,500,1.1220,3.2018,0.022814,0.023235,90.1949,0.2420,0.176677,0.077208,335
sw-short-2p6d-kv100-s44,splitwise,2,6,500,short,100.0,44,500,0.9963,2.9714,0.022834,0.023257,109.5581,0.2100,0.215333,0.094101,301
sw-short-2p6d-kv100-s45,splitwise,2,6,500,short,100.0,45,500,1.6606,6.5527,0.022815,0.023225,49.1312,0.2620,0.094158,0.041147,343
sw-short-2p6d-kv100-s46,splitwise,2,6,500,short,100.0,46,500,1.0354,3.3099,0.022826,0.023218,120.6982,0.3440,0.237352,0.103723,344
sw-short-3p5d-kv100-s42,splitwise,3,5,500,short,100.0,42,500,1.9287,5.3690,0.022784,0.023072,75.7324,0.2080,0.146390,0.063973,360
sw-short-3p5d-kv100-s44,splitwise,3,5,500,short,100.0,44,500,2.0089,5.6312,0.022797,0.023129,99.7275,0.2600,0.193826,0.084702,252
sw-short-3p5d-kv100-s43,splitwise,3,5,500,short,100.0,43,500,1.6537,4.7991,0.022816,0.023203,75.3209,0.2720,0.146119,0.063854,302
sw-short-3p5d-kv100-s45,splitwise,3,5,500,short,100.0,45,500,2.1028,5.6709,0.022812,0.023169,121.0538,0.1860,0.235940,0.103106,330
sw-short-3p5d-kv100-s46,splitwise,3,5,500,short,100.0,46,500,1.9931,5.6228,0.022784,0.023073,109.8516,0.2620,0.213938,0.093491,324
sw-short-4p4d-kv100-s42,splitwise,4,4,500,short,100.0,42,500,1.8471,5.2263,0.022828,0.023245,97.8701,0.2140,0.190462,0.083232,291
sw-short-4p4d-kv100-s44,splitwise,4,4,500,short,100.0,44,500,2.0008,5.3403,0.022866,0.023243,117.4808,0.1800,0.229055,0.100097,294
sw-short-4p4d-kv100-s43,splitwise,4,4,500,short,100.0,43,500,1.9426,5.0998,0.022830,0.023174,104.3003,0.2380,0.203027,0.088723,364
sw-short-4p4d-kv100-s45,splitwise,4,4,500,short,100.0,45,500,1.7267,5.1036,0.022874,0.023302,132.9191,0.1960,0.260221,0.113717,335
sw-short-4p4d-kv100-s46,splitwise,4,4,500,short,100.0,46,500,1.8199,5.2323,0.022840,0.023309,127.5326,0.2440,0.249352,0.108967,300
sw-short-5p3d-kv100-s43,splitwise,5,3,500,short,100.0,43,500,1.9484,5.0711,0.022906,0.023347,130.1545,0.2140,0.254298,0.111128,261
sw-short-5p3d-kv100-s44,splitwise,5,3,500,short,100.0,44,500,1.7291,4.9217,0.022946,0.023465,132.6252,0.1920,0.259633,0.113460,295
sw-short-5p3d-kv100-s42,splitwise,5,3,500,short,100.0,42,500,1.6882,4.9358,0.022921,0.023584,119.4922,0.2100,0.233665,0.102112,347
sw-short-6p2d-kv100-s43,splitwise,6,2,500,short,100.0,43,500,1.8261,4.8699,0.023055,0.023782,158.0325,0.2140,0.309836,0.135399,308
sw-short-5p3d-kv100-s45,splitwise,5,3,500,short,100.0,45,500,1.8748,7.8626,0.022933,0.023448,75.3170,0.2380,0.145673,0.063659,372
sw-short-5p3d-kv100-s46,splitwise,5,3,500,short,100.0,46,500,1.6737,4.8975,0.022919,0.023590,143.8915,0.2300,0.282090,0.123273,360
sw-short-6p2d-kv100-s42,splitwise,6,2,500,short,100.0,42,500,1.5362,4.7196,0.023058,0.023956,99.0608,0.2560,0.193441,0.084534,388
sw-short-6p2d-kv100-s44,splitwise,6,2,500,short,100.0,44,500,1.6028,7.8410,0.023111,0.023900,91.9415,0.2500,0.179187,0.078305,282
